deal_name,stage,amount,owner_id,lead_source,close_date,next_step
Leonard LLC,Qualification,64310.0,EMP691216,Cold Call,2025-06-07,Arrange site visit
"Jackson, Ramirez and Martinez",Qualification,105239.0,EMP846432,Partner,2025-05-09,Email follow-up
"Byrd, Smith and Thomas",Proposal,166282.0,EMP303524,Referral,2025-08-26,
Morgan LLC,Closed Lost,54920.0,EMP212803,Webinar,2026-04-11,
Bradford-Sanchez,Negotiation,79395.0,EMP608154,Cold Call,2026-01-30,
"Duncan, Green and Jackson",Closed Lost,158440.0,EMP659078,Referral,2025-05-23,Arrange site visit
Ross-Garcia,Closed Lost,61289.0,EMP297507,Webinar,2025-09-16,Call next week
Rivera and Sons,Closed Lost,133003.0,EMP387972,Partner,2026-01-20,Arrange site visit
Gardner-Mason,Closed Lost,149759.0,EMP681289,Referral,2025-07-25,
Oneal-Garcia,Closed Lost,21530.0,EMP327393,Webinar,2025-10-13,Schedule demo
"Roberts, Brown and Mccall",Closed Won,91963.0,EMP396313,Partner,2026-04-16,Schedule demo
Sutton Group,Prospecting,110594.0,EMP273696,Referral,2025-10-10,Arrange site visit
Martin LLC,Closed Lost,13257.0,EMP473748,Partner,2026-03-21,Call next week
"Jackson, Bush and Duncan",Prospecting,144025.0,EMP306934,Cold Call,2025-08-26,Call next week
"Gray, Yu and Garcia",Proposal,63469.0,EMP927977,Trade Show,2025-05-22,Call next week
Mccoy Group,Qualification,132261.0,EMP442881,Partner,2025-04-24,
Scott Group,Prospecting,160201.0,EMP696926,Webinar,2025-06-07,Schedule demo
Ford PLC,Negotiation,69247.0,EMP141642,Partner,2026-03-06,Schedule demo
"Castro, Richardson and Coleman",Qualification,56437.0,EMP826994,Partner,2025-10-19,
Chapman PLC,Closed Lost,75768.0,EMP662134,Partner,2026-01-28,
Campbell PLC,Closed Won,133411.0,EMP200810,Referral,2025-04-28,Call next week
Kennedy-Farrell,Prospecting,106622.0,EMP553791,Cold Call,2025-04-09,Arrange site visit
"Mcdonald, Garner and Mckee",Closed Won,151955.0,EMP224208,Partner,2025-12-07,Arrange site visit
Nelson-Martin,Qualification,34176.0,EMP591543,Cold Call,2025-05-02,Arrange site visit
Mccullough LLC,Prospecting,96788.0,EMP337802,Webinar,2025-05-17,Arrange site visit
"Johnson, Wells and Kramer",Qualification,82577.0,EMP473096,Partner,2025-09-30,
"Mitchell, Wright and Hendrix",Closed Lost,19563.0,EMP464546,Webinar,2025-10-27,
Daniel-Cardenas,Negotiation,63773.0,EMP302329,Webinar,2026-03-22,Arrange site visit
Gonzalez Group,Qualification,121000.0,EMP930451,Referral,2025-12-19,Call next week
"Guzman, Arnold and Johnson",Prospecting,138377.0,EMP147773,Cold Call,2025-04-08,Email follow-up
Mcclain-Conner,Closed Won,96616.0,EMP571396,Webinar,2025-06-25,
Richardson-Gonzalez,Closed Won,136328.0,EMP706354,Trade Show,2025-08-11,Schedule demo
Jones and Sons,Closed Lost,132204.0,EMP836705,Trade Show,2025-10-24,Arrange site visit
"Miller, Stone and Powers",Closed Won,12537.0,EMP118142,Referral,2025-09-28,Arrange site visit
"Sullivan, Ramirez and Miller",Qualification,176239.0,EMP749855,Webinar,2025-06-11,Email follow-up
Stephens Ltd,Closed Lost,175986.0,EMP528995,Partner,2026-03-05,
"Cooper, Melendez and Gonzalez",Proposal,142031.0,EMP647278,Webinar,2025-11-10,Email follow-up
Decker-Camacho,Negotiation,26581.0,EMP551777,Trade Show,2025-04-09,
Cole-Palmer,Prospecting,68948.0,EMP739836,Trade Show,2025-07-13,Schedule demo
Brown-Williams,Qualification,112604.0,EMP603011,Partner,2025-10-27,
Gray-Gutierrez,Prospecting,16380.0,EMP203540,Trade Show,2025-07-23,
"Dominguez, Bowman and Hall",Closed Lost,65417.0,EMP449845,Partner,2025-04-01,Arrange site visit
Bonilla-Spencer,Proposal,52454.0,EMP406134,Webinar,2025-08-06,Schedule demo
"Graham, Roberts and Washington",Qualification,123133.0,EMP186015,Cold Call,2025-09-14,Arrange site visit
Craig-Reynolds,Closed Lost,100389.0,EMP154791,Webinar,2025-05-28,Arrange site visit
Klein-Dickson,Negotiation,131843.0,EMP370516,Referral,2025-09-11,Arrange site visit
"Bowen, Turner and Kelley",Prospecting,167999.0,EMP196469,Partner,2026-03-29,Email follow-up
Barnes-Mcintyre,Proposal,89998.0,EMP109043,Referral,2025-07-23,Arrange site visit
"Barton, Reed and Coleman",Proposal,63677.0,EMP605086,Partner,2025-04-26,
Collins-Maldonado,Qualification,69368.0,EMP506384,Referral,2025-05-11,Arrange site visit
Hall-Johnson,Closed Won,37130.0,EMP297555,Webinar,2025-04-16,Call next week
Moore-Underwood,Qualification,81388.0,EMP521770,Referral,2026-03-20,Arrange site visit
Wiley-Parsons,Prospecting,145909.0,EMP435121,Webinar,2025-04-11,Arrange site visit
Hahn Inc,Qualification,194791.0,EMP383511,Webinar,2025-06-14,Email follow-up
Banks and Sons,Closed Won,157210.0,EMP736327,Cold Call,2025-05-29,Call next week
Pena Ltd,Closed Lost,141783.0,EMP334934,Partner,2025-10-28,
Leonard-White,Closed Won,173011.0,EMP254748,Referral,2025-08-16,Arrange site visit
Alexander-Rubio,Qualification,18646.0,EMP142681,Partner,2026-01-29,
Moore and Sons,Prospecting,185201.0,EMP833864,Referral,2025-07-10,Arrange site visit
Guerrero Group,Closed Won,124142.0,EMP688829,Partner,2026-01-02,Schedule demo
"Campbell, Yates and Turner",Closed Lost,28485.0,EMP736442,Webinar,2026-03-26,Schedule demo
Willis LLC,Closed Lost,100979.0,EMP939552,Referral,2025-04-11,Call next week
Wolf-Jones,Negotiation,168106.0,EMP990516,Referral,2025-11-19,Arrange site visit
"Dawson, Carter and Conrad",Qualification,167620.0,EMP658726,Referral,2025-09-29,Arrange site visit
Schultz-Kelley,Closed Won,165912.0,EMP555969,Partner,2025-06-15,Schedule demo
Gray Inc,Closed Lost,136680.0,EMP508723,Webinar,2025-07-04,Arrange site visit
Williams-Norton,Closed Lost,33244.0,EMP357998,Partner,2025-07-18,Email follow-up
Wood LLC,Qualification,102641.0,EMP949412,Cold Call,2025-04-05,
Brown-Johnson,Closed Lost,30701.0,EMP705241,Referral,2026-01-17,
Moore PLC,Qualification,181968.0,EMP685957,Cold Call,2025-08-22,Schedule demo
Harrison Inc,Prospecting,159584.0,EMP468530,Partner,2025-07-20,Arrange site visit
"Taylor, Meza and Castro",Qualification,92645.0,EMP198316,Partner,2026-03-09,Email follow-up
Jones Inc,Proposal,138846.0,EMP751967,Cold Call,2025-11-05,Arrange site visit
"Waters, Wilson and Hoover",Qualification,111118.0,EMP820914,Partner,2026-04-13,Arrange site visit
Reynolds-Wilson,Prospecting,150035.0,EMP463773,Partner,2025-11-12,Arrange site visit
"Heath, Benitez and Acosta",Qualification,176941.0,EMP717615,Trade Show,2026-01-20,Call next week
Fernandez and Sons,Closed Won,44562.0,EMP520128,Webinar,2025-08-11,Schedule demo
Blair-Henderson,Negotiation,31545.0,EMP155442,Cold Call,2025-08-17,Arrange site visit
Miller PLC,Closed Won,26209.0,EMP308691,Cold Call,2026-03-07,Schedule demo
Cross PLC,Prospecting,56437.0,EMP599479,Trade Show,2025-04-15,Call next week
Davis Group,Prospecting,25995.0,EMP538312,Referral,2025-09-18,Schedule demo
Rice-Nguyen,Closed Won,107376.0,EMP921755,Trade Show,2025-10-16,Email follow-up
"Armstrong, Long and Parker",Negotiation,18677.0,EMP515914,Partner,2025-11-26,Arrange site visit
"Steele, Hernandez and Sullivan",Proposal,198820.0,EMP957467,Webinar,2026-02-02,
Moss-Dunlap,Prospecting,32072.0,EMP951066,Webinar,2025-05-17,Arrange site visit
"Brooks, Smith and Thomas",Negotiation,64778.0,EMP391606,Partner,2025-06-09,
"Maldonado, Clark and Leach",Closed Lost,103542.0,EMP652822,Partner,2025-05-08,
Wilson Group,Closed Lost,50032.0,EMP744395,Cold Call,2025-11-16,Call next week
"Webb, Martinez and Church",Negotiation,94219.0,EMP871828,Partner,2025-09-13,Schedule demo
Brennan and Sons,Qualification,141271.0,EMP714213,Cold Call,2025-12-04,Call next week
"Bell, Burgess and Gonzalez",Negotiation,82479.0,EMP697562,Trade Show,2025-06-07,Schedule demo
"Davis, Mcguire and Thomas",Closed Won,119197.0,EMP904200,Referral,2025-07-28,Email follow-up
Flores-Walters,Prospecting,174566.0,EMP630511,Trade Show,2025-07-30,Schedule demo
"Lambert, Sanchez and Lloyd",Closed Won,110181.0,EMP140602,Webinar,2025-06-17,Schedule demo
Bernard Group,Negotiation,65349.0,EMP833409,Trade Show,2025-05-13,Email follow-up
"Kelly, Little and Hall",Closed Lost,82275.0,EMP520367,Cold Call,2026-01-03,Schedule demo
Burch Group,Negotiation,91494.0,EMP413345,Webinar,2025-07-06,
"Nelson, Marsh and Gillespie",Negotiation,19823.0,EMP864108,Trade Show,2025-03-20,Call next week
Garner LLC,Negotiation,59172.0,EMP778602,Webinar,2025-09-18,Arrange site visit
"Miller, Rogers and Butler",Prospecting,119557.0,EMP301641,Referral,2025-06-28,Call next week
"Adams, Rios and Daugherty",Closed Lost,85019.0,EMP786150,Cold Call,2025-07-07,
"White, Wood and Sampson",Closed Won,182054.0,EMP324651,Trade Show,2025-05-22,Arrange site visit
"Walters, Jackson and Gonzalez",Closed Won,98951.0,EMP480453,Trade Show,2025-05-13,Email follow-up
"Bishop, Jones and Mitchell",Qualification,120057.0,EMP855214,Partner,2025-12-10,
"Gregory, Scott and Johnson",Qualification,68885.0,EMP882285,Trade Show,2025-10-26,Email follow-up
"Moore, Jackson and Sullivan",Closed Lost,68616.0,EMP842487,Partner,2025-09-03,Call next week
"Dunn, Gonzalez and Levy",Qualification,95280.0,EMP792191,Referral,2025-05-13,Arrange site visit
"Daniels, Mathews and Lopez",Negotiation,139717.0,EMP294829,Cold Call,2025-12-01,Arrange site visit
"Barrett, Watkins and Nixon",Negotiation,55606.0,EMP888689,Partner,2025-07-20,Arrange site visit
Diaz-Wise,Negotiation,187173.0,EMP621478,Webinar,2025-09-20,
Barnes and Sons,Qualification,137113.0,EMP515157,Webinar,2026-03-23,Email follow-up
Booth-Perez,Proposal,16295.0,EMP918391,Trade Show,2025-09-19,Email follow-up
